CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Status
Terra Jole,23,9,Percent,38.0,16.7%,0.0%-100.0%,16.995773315429688,3.0,0.024625425785779954,0.0,0.0,0.00015234947204589844,0.010920371860265732,0.3584170639514923,Safe
Calvin Johnson Jr.,23,10,Percent,28.0,19.1%,1.4%-99.0%,16.90916633605957,5.0,0.15009594671428206,0.0014733108691871166,0.0,0.006730318069458008,0.0027461666613817215,0.4770611822605133,Safe
Laurie Hernandez,23,10,Percent,30.0,20.5%,0.0%-97.6%,21.790573120117188,2.0,0.15009594671428206,0.0014733108691871166,0.0,0.006730318069458008,0.0027461666613817215,0.4770611822605133,Safe
James Hinchcliffe,23,10,Percent,29.5,20.1%,0.3%-98.0%,20.12546730041504,3.0,0.15009594671428206,0.0014733108691871166,0.0,0.006730318069458008,0.0027461666613817215,0.4770611822605133,Safe
Jana Kramer,23,10,Percent,29.0,19.8%,0.7%-98.3%,19.17498779296875,4.0,0.15009594671428206,0.0014733108691871166,0.0,0.006730318069458008,0.0027461666613817215,0.4770611822605133,Safe
Terra Jole,23,10,Percent,30.0,20.5%,0.0%-19.5%,21.999805450439453,1.0,0.15009594671428206,0.0014733108691871166,0.0,0.006730318069458008,0.0027461666613817215,0.4770611822605133,Eliminated (Place 5)
Calvin Johnson Jr.,23,11,Percent,38.3331,25.2%,0.0%-50.3%,25.647417068481445,3.0,0.01992424800992012,0.0,0.0,0.0004513859748840332,0.009047146886587143,0.280891478061676,Eliminated (Place 3)
Laurie Hernandez,23,11,Percent,39.333200000000005,25.8%,24.2%-100.0%,28.799564361572266,1.0,0.01992424800992012,0.0,0.0,0.0004513859748840332,0.009047146886587143,0.280891478061676,Safe
James Hinchcliffe,23,11,Percent,38.9998,25.6%,0.0%-50.1%,27.636104583740234,2.0,0.01992424800992012,0.0,0.0,0.0004513859748840332,0.009047146886587143,0.280891478061676,Eliminated (Place 2)
Jana Kramer,23,11,Percent,35.5,23.3%,0.0%-51.3%,17.916915893554688,4.0,0.01992424800992012,0.0,0.0,0.0004513859748840332,0.009047146886587143,0.280891478061676,Eliminated (Place 4)
Charo,24,1,Percent,21.0,7.0%,0.0%-100.0%,7.0258989334106445,8.0,0.036843481846153735,0.0,0.0,1.245737075805664e-05,0.010967488400638103,0.6050106287002563,Safe
Mr. T,24,1,Percent,20.0,6.6%,0.0%-100.0%,6.710983753204346,9.0,0.036843481846153735,0.0,0.0,1.245737075805664e-05,0.010967488400638103,0.6050106287002563,Safe
Heather Morris,24,1,Percent,28.0,9.3%,0.0%-100.0%,9.216903686523438,4.0,0.036843481846153735,0.0,0.0,1.245737075805664e-05,0.010967488400638103,0.6050106287002563,Safe
Nancy Kerrigan,24,1,Percent,28.0,9.3%,0.0%-100.0%,9.216903686523438,4.0,0.036843481846153735,0.0,0.0,1.245737075805664e-05,0.010967488400638103,0.6050106287002563,Safe
Bonner Bolton,24,1,Percent,22.0,7.3%,0.0%-100.0%,7.3408918380737305,7.0,0.036843481846153735,0.0,0.0,1.245737075805664e-05,0.010967488400638103,0.6050106287002563,Safe
Simone Biles,24,1,Percent,32.0,10.6%,0.0%-100.0%,10.478426933288574,1.0,0.036843481846153735,0.0,0.0,1.245737075805664e-05,0.010967488400638103,0.6050106287002563,Safe
David Ross,24,1,Percent,28.0,9.3%,0.0%-100.0%,9.233648300170898,3.0,0.036843481846153735,0.0,0.0,1.245737075805664e-05,0.010967488400638103,0.6050106287002563,Safe
Rashad Jennings,24,1,Percent,31.0,10.3%,0.0%-100.0%,10.161038398742676,2.0,0.036843481846153735,0.0,0.0,1.245737075805664e-05,0.010967488400638103,0.6050106287002563,Safe
Chris Kattan,24,1,Percent,17.0,5.6%,0.0%-100.0%,5.788590431213379,10.0,0.036843481846153735,0.0,0.0,1.245737075805664e-05,0.010967488400638103,0.6050106287002563,Safe
Erika Jayne,24,1,Percent,24.0,7.9%,0.0%-100.0%,7.96561336517334,6.0,0.036843481846153735,0.0,0.0,1.245737075805664e-05,0.010967488400638103,0.6050106287002563,Safe
Normani,24,1,Percent,27.0,8.9%,0.0%-100.0%,8.895489692687988,5.0,0.036843481846153735,0.0,0.0,1.245737075805664e-05,0.010967488400638103,0.6050106287002563,Safe
Nick Viall,24,1,Percent,24.0,7.9%,0.0%-100.0%,7.96561336517334,6.0,0.036843481846153735,0.0,0.0,1.245737075805664e-05,0.010967488400638103,0.6050106287002563,Safe
Charo,24,2,Percent,25.0,7.6%,0.0%-100.0%,7.321186542510986,9.0,0.03725682962685824,0.0,0.0,0.00019127130508422852,0.01079596858471632,0.6117595434188843,Safe
Mr. T,24,2,Percent,22.0,6.7%,0.0%-100.0%,6.084786891937256,10.0,0.03725682962685824,0.0,0.0,0.00019127130508422852,0.01079596858471632,0.6117595434188843,Safe
Heather Morris,24,2,Percent,30.0,9.1%,0.0%-100.0%,9.475333213806152,3.0,0.03725682962685824,0.0,0.0,0.00019127130508422852,0.01079596858471632,0.6117595434188843,Safe
Nancy Kerrigan,24,2,Percent,28.0,8.5%,0.0%-100.0%,8.609959602355957,6.0,0.03725682962685824,0.0,0.0,0.00019127130508422852,0.01079596858471632,0.6117595434188843,Safe
Bonner Bolton,24,2,Percent,28.0,8.5%,0.0%-100.0%,8.609959602355957,6.0,0.03725682962685824,0.0,0.0,0.00019127130508422852,0.01079596858471632,0.6117595434188843,Safe
Simone Biles,24,2,Percent,29.0,8.8%,0.0%-100.0%,9.049509048461914,4.0,0.03725682962685824,0.0,0.0,0.00019127130508422852,0.01079596858471632,0.6117595434188843,Safe
David Ross,24,2,Percent,27.0,8.2%,0.0%-100.0%,8.177356719970703,7.0,0.03725682962685824,0.0,0.0,0.00019127130508422852,0.01079596858471632,0.6117595434188843,Safe
Rashad Jennings,24,2,Percent,32.0,9.8%,0.0%-100.0%,10.265067100524902,2.0,0.03725682962685824,0.0,0.0,0.00019127130508422852,0.01079596858471632,0.6117595434188843,Safe
Chris Kattan,24,2,Percent,22.0,6.7%,0.0%-10.0%,6.057425022125244,11.0,0.03725682962685824,0.0,0.0,0.00019127130508422852,0.01079596858471632,0.6117595434188843,Eliminated (Place 12)
Erika Jayne,24,2,Percent,28.0,8.5%,0.0%-100.0%,8.61953353881836,5.0,0.03725682962685824,0.0,0.0,0.00019127130508422852,0.01079596858471632,0.6117595434188843,Safe
Normani,24,2,Percent,32.0,9.8%,0.0%-100.0%,10.384836196899414,1.0,0.03725682962685824,0.0,0.0,0.00019127130508422852,0.01079596858471632,0.6117595434188843,Safe
Nick Viall,24,2,Percent,25.0,7.6%,0.0%-100.0%,7.345040321350098,8.0,0.03725682962685824,0.0,0.0,0.00019127130508422852,0.01079596858471632,0.6117595434188843,Safe
Charo,24,3,Percent,24.0,7.6%,0.0%-10.6%,7.220020771026611,9.0,0.03566778562963009,0.0,0.0,2.4080276489257812e-05,0.011116797104477882,0.579472541809082,Eliminated (Place 11)
Mr. T,24,3,Percent,24.0,7.6%,0.0%-100.0%,7.220020771026611,9.0,0.03566778562963009,0.0,0.0,2.4080276489257812e-05,0.011116797104477882,0.579472541809082,Safe
Heather Morris,24,3,Percent,33.0,10.5%,0.0%-100.0%,10.83789348602295,2.0,0.03566778562963009,0.0,0.0,2.4080276489257812e-05,0.011116797104477882,0.579472541809082,Safe
Nancy Kerrigan,24,3,Percent,33.0,10.5%,0.0%-100.0%,10.83789348602295,2.0,0.03566778562963009,0.0,0.0,2.4080276489257812e-05,0.011116797104477882,0.579472541809082,Safe
Bonner Bolton,24,3,Percent,24.0,7.6%,0.0%-100.0%,7.2432050704956055,8.0,0.03566778562963009,0.0,0.0,2.4080276489257812e-05,0.011116797104477882,0.579472541809082,Safe
Simone Biles,24,3,Percent,32.0,10.2%,0.0%-100.0%,10.43057632446289,3.0,0.03566778562963009,0.0,0.0,2.4080276489257812e-05,0.011116797104477882,0.579472541809082,Safe
David Ross,24,3,Percent,31.0,9.8%,0.0%-100.0%,10.02537727355957,4.0,0.03566778562963009,0.0,0.0,2.4080276489257812e-05,0.011116797104477882,0.579472541809082,Safe
Rashad Jennings,24,3,Percent,28.0,8.9%,0.0%-100.0%,8.84233570098877,5.0,0.03566778562963009,0.0,0.0,2.4080276489257812e-05,0.011116797104477882,0.579472541809082,Safe
Erika Jayne,24,3,Percent,26.0,8.3%,0.0%-100.0%,8.04990005493164,6.0,0.03566778562963009,0.0,0.0,2.4080276489257812e-05,0.011116797104477882,0.579472541809082,Safe
Normani,24,3,Percent,34.0,10.8%,0.0%-100.0%,11.25821304321289,1.0,0.03566778562963009,0.0,0.0,2.4080276489257812e-05,0.011116797104477882,0.579472541809082,Safe
Nick Viall,24,3,Percent,26.0,8.3%,0.0%-100.0%,8.034562110900879,7.0,0.03566778562963009,0.0,0.0,2.4080276489257812e-05,0.011116797104477882,0.579472541809082,Safe
Mr. T,24,4,Percent,28.0,8.6%,0.0%-11.4%,7.314111232757568,10.0,0.033761128038167956,0.0,0.0,3.600120544433594e-05,0.011982504278421402,0.5307124853134155,Eliminated (Place 10)
Heather Morris,24,4,Percent,35.0,10.7%,0.0%-100.0%,11.402958869934082,3.0,0.033761128038167956,0.0,0.0,3.600120544433594e-05,0.011982504278421402,0.5307124853134155,Safe
Nancy Kerrigan,24,4,Percent,33.0,10.1%,0.0%-100.0%,10.253752708435059,4.0,0.033761128038167956,0.0,0.0,3.600120544433594e-05,0.011982504278421402,0.5307124853134155,Safe
Bonner Bolton,24,4,Percent,32.0,9.8%,0.0%-100.0%,9.679170608520508,5.0,0.033761128038167956,0.0,0.0,3.600120544433594e-05,0.011982504278421402,0.5307124853134155,Safe
Simone Biles,24,4,Percent,36.0,11.0%,0.0%-100.0%,11.991376876831055,2.0,0.033761128038167956,0.0,0.0,3.600120544433594e-05,0.011982504278421402,0.5307124853134155,Safe
David Ross,24,4,Percent,31.0,9.5%,0.0%-100.0%,9.063403129577637,7.0,0.033761128038167956,0.0,0.0,3.600120544433594e-05,0.011982504278421402,0.5307124853134155,Safe
Rashad Jennings,24,4,Percent,39.0,12.0%,0.0%-100.0%,13.719841957092285,1.0,0.033761128038167956,0.0,0.0,3.600120544433594e-05,0.011982504278421402,0.5307124853134155,Safe
Erika Jayne,24,4,Percent,30.0,9.2%,0.0%-100.0%,8.45754337310791,9.0,0.033761128038167956,0.0,0.0,3.600120544433594e-05,0.011982504278421402,0.5307124853134155,Safe
Normani,24,4,Percent,32.0,9.8%,0.0%-100.0%,9.636991500854492,6.0,0.033761128038167956,0.0,0.0,3.600120544433594e-05,0.011982504278421402,0.5307124853134155,Safe
Nick Viall,24,4,Percent,30.0,9.2%,0.0%-100.0%,8.480847358703613,8.0,0.033761128038167956,0.0,0.0,3.600120544433594e-05,0.011982504278421402,0.5307124853134155,Safe
Heather Morris,24,5,Percent,34.0,11.2%,0.0%-98.4%,11.154792785644531,5.0,0.039817220321856445,7.939471834106371e-05,0.0,0.0008435845375061035,0.006038563326001167,0.5799784064292908,Safe
Nancy Kerrigan,24,5,Percent,36.0,11.8%,0.0%-98.4%,12.131946563720703,3.0,0.039817220321856445,7.939471834106371e-05,0.0,0.0008435845375061035,0.006038563326001167,0.5799784064292908,Safe
Bonner Bolton,24,5,Percent,30.0,9.9%,0.7%-99.0%,9.475733757019043,8.0,0.039817220321856445,7.939471834106371e-05,0.0,0.0008435845375061035,0.006038563326001167,0.5799784064292908,Safe
Simone Biles,24,5,Percent,38.0,12.5%,0.0%-98.4%,12.972949028015137,2.0,0.039817220321856445,7.939471834106371e-05,0.0,0.0008435845375061035,0.006038563326001167,0.5799784064292908,Safe
David Ross,24,5,Percent,29.0,9.5%,1.0%-99.3%,9.052809715270996,9.0,0.039817220321856445,7.939471834106371e-05,0.0,0.0008435845375061035,0.006038563326001167,0.5799784064292908,Safe
Rashad Jennings,24,5,Percent,32.0,10.5%,0.0%-98.4%,10.325475692749023,6.0,0.039817220321856445,7.939471834106371e-05,0.0,0.0008435845375061035,0.006038563326001167,0.5799784064292908,Safe
Erika Jayne,24,5,Percent,32.0,10.5%,0.0%-11.7%,10.183874130249023,7.0,0.039817220321856445,7.939471834106371e-05,0.0,0.0008435845375061035,0.006038563326001167,0.5799784064292908,Eliminated (Place 9)
Normani,24,5,Percent,39.0,12.8%,0.0%-98.4%,13.459141731262207,1.0,0.039817220321856445,7.939471834106371e-05,0.0,0.0008435845375061035,0.006038563326001167,0.5799784064292908,Safe
Nick Viall,24,5,Percent,34.0,11.2%,0.0%-98.4%,11.243285179138184,4.0,0.039817220321856445,7.939471834106371e-05,0.0,0.0008435845375061035,0.006038563326001167,0.5799784064292908,Safe
Heather Morris,24,6,Percent,37.0,13.8%,0.0%-11.2%,13.570046424865723,1.0,0.11667391806840896,0.0009358079987578094,0.0,0.004934191703796387,0.0015766611322760582,0.7185817956924438,Eliminated (Place 8)
Nancy Kerrigan,24,6,Percent,33.5,12.5%,1.3%-91.3%,12.492318153381348,5.0,0.11667391806840896,0.0009358079987578094,0.0,0.004934191703796387,0.0015766611322760582,0.7185817956924438,Safe
Bonner Bolton,24,6,Percent,31.5,11.7%,2.0%-92.0%,11.652036666870117,6.0,0.11667391806840896,0.0009358079987578094,0.0,0.004934191703796387,0.0015766611322760582,0.7185817956924438,Safe
Simone Biles,24,6,Percent,34.5,12.8%,0.9%-90.9%,12.856062889099121,4.0,0.11667391806840896,0.0009358079987578094,0.0,0.004934191703796387,0.0015766611322760582,0.7185817956924438,Safe
David Ross,24,6,Percent,31.0,11.5%,2.2%-92.2%,11.490677833557129,7.0,0.11667391806840896,0.0009358079987578094,0.0,0.004934191703796387,0.0015766611322760582,0.7185817956924438,Safe
Rashad Jennings,24,6,Percent,35.0,13.0%,0.7%-90.7%,13.095596313476562,3.0,0.11667391806840896,0.0009358079987578094,0.0,0.004934191703796387,0.0015766611322760582,0.7185817956924438,Safe
Normani,24,6,Percent,36.0,13.4%,0.4%-90.3%,13.455796241760254,2.0,0.11667391806840896,0.0009358079987578094,0.0,0.004934191703796387,0.0015766611322760582,0.7185817956924438,Safe
Nick Viall,24,6,Percent,30.5,11.3%,2.4%-92.4%,11.387462615966797,8.0,0.11667391806840896,0.0009358079987578094,0.0,0.004934191703796387,0.0015766611322760582,0.7185817956924438,Safe
Nancy Kerrigan,24,7,Percent,36.0,14.2%,0.0%-16.9%,14.221633911132812,4.0,0.05218561198562384,0.00018667351105250418,0.0,0.00032269954681396484,0.000992098357528448,0.7266754508018494,Eliminated (Place 7)
Bonner Bolton,24,7,Percent,31.0,12.3%,2.0%-98.4%,13.249092102050781,7.0,0.05218561198562384,0.00018667351105250418,0.0,0.00032269954681396484,0.000992098357528448,0.7266754508018494,Safe
Simone Biles,24,7,Percent,39.0,15.4%,0.0%-96.4%,14.88686466217041,2.0,0.05218561198562384,0.00018667351105250418,0.0,0.00032269954681396484,0.000992098357528448,0.7266754508018494,Safe
David Ross,24,7,Percent,32.0,12.6%,1.6%-98.0%,13.451780319213867,6.0,0.05218561198562384,0.00018667351105250418,0.0,0.00032269954681396484,0.000992098357528448,0.7266754508018494,Safe
Rashad Jennings,24,7,Percent,39.0,15.4%,0.0%-96.4%,14.869943618774414,3.0,0.05218561198562384,0.00018667351105250418,0.0,0.00032269954681396484,0.000992098357528448,0.7266754508018494,Safe
Normani,24,7,Percent,42.0,16.6%,0.0%-96.4%,15.497845649719238,1.0,0.05218561198562384,0.00018667351105250418,0.0,0.00032269954681396484,0.000992098357528448,0.7266754508018494,Safe
Nick Viall,24,7,Percent,34.0,13.4%,0.0%-17.5%,13.82283878326416,5.0,0.05218561198562384,0.00018667351105250418,0.0,0.00032269954681396484,0.000992098357528448,0.7266754508018494,Eliminated (Place 6)
Bonner Bolton,24,8,Percent,29.0,16.6%,0.0%-23.4%,14.059800148010254,5.0,0.01981054022908211,0.0,0.0,0.0003256797790527344,0.011415671557188034,0.25270915031433105,Eliminated (Place 5)
Simone Biles,24,8,Percent,36.0,20.6%,0.0%-100.0%,21.06766700744629,3.0,0.01981054022908211,0.0,0.0,0.0003256797790527344,0.011415671557188034,0.25270915031433105,Safe
David Ross,24,8,Percent,32.5,18.6%,0.0%-100.0%,17.58521842956543,4.0,0.01981054022908211,0.0,0.0,0.0003256797790527344,0.011415671557188034,0.25270915031433105,Safe
Rashad Jennings,24,8,Percent,37.5,21.5%,0.0%-100.0%,22.7852725982666,2.0,0.01981054022908211,0.0,0.0,0.0003256797790527344,0.011415671557188034,0.25270915031433105,Safe
Normani,24,8,Percent,39.5,22.6%,0.0%-100.0%,24.502038955688477,1.0,0.01981054022908211,0.0,0.0,0.0003256797790527344,0.011415671557188034,0.25270915031433105,Safe
Simone Biles,24,9,Percent,40.0,26.4%,0.0%-23.6%,27.049928665161133,2.0,0.3598761211615056,0.0035992844495922327,0.0,0.04927283525466919,0.0035648823250085115,0.41043201088905334,Eliminated (Place 4)
David Ross,24,9,Percent,35.0,23.1%,3.3%-97.7%,20.45865249633789,4.0,0.3598761211615056,0.0035992844495922327,0.0,0.04927283525466919,0.0035648823250085115,0.41043201088905334,Safe
Rashad Jennings,24,9,Percent,38.5,25.4%,1.0%-95.4%,27.188995361328125,1.0,0.3598761211615056,0.0035992844495922327,0.0,0.04927283525466919,0.0035648823250085115,0.41043201088905334,Safe
Normani,24,9,Percent,38.0,25.1%,1.3%-95.7%,25.30242156982422,3.0,0.3598761211615056,0.0035992844495922327,0.0,0.04927283525466919,0.0035648823250085115,0.41043201088905334,Safe
David Ross,24,10,Percent,36.3333,31.5%,0.0%-51.4%,25.965595245361328,3.0,0.015214704722166062,0.0,0.0,0.0007975101470947266,0.0067090317606925964,0.20783551037311554,Eliminated (Place 2)
Rashad Jennings,24,10,Percent,39.6666,34.4%,32.3%-100.0%,37.857032775878906,1.0,0.015214704722166062,0.0,0.0,0.0007975101470947266,0.0067090317606925964,0.20783551037311554,Safe
Normani,24,10,Percent,39.333200000000005,34.1%,0.0%-50.1%,36.1773681640625,2.0,0.015214704722166062,0.0,0.0,0.0007975101470947266,0.0067090317606925964,0.20783551037311554,Eliminated (Place 3)
Sasha Pieterse,25,1,Percent,18.0,7.5%,0.0%-100.0%,7.502877712249756,7.0,0.03807467520236969,0.0,0.0,2.9146671295166016e-05,0.010593816637992859,0.6337847709655762,Safe
Frankie Muniz,25,1,Percent,19.0,7.9%,0.0%-100.0%,8.015830993652344,5.0,0.03807467520236969,0.0,0.0,2.9146671295166016e-05,0.010593816637992859,0.6337847709655762,Safe
Jordan Fisher,25,1,Percent,22.0,9.2%,0.0%-100.0%,9.547125816345215,2.0,0.03807467520236969,0.0,0.0,2.9146671295166016e-05,0.010593816637992859,0.6337847709655762,Safe
Derek Fisher,25,1,Percent,18.0,7.5%,0.0%-100.0%,7.488348484039307,8.0,0.03807467520236969,0.0,0.0,2.9146671295166016e-05,0.010593816637992859,0.6337847709655762,Safe
Nikki Bella,25,1,Percent,20.0,8.4%,0.0%-100.0%,8.532679557800293,4.0,0.03807467520236969,0.0,0.0,2.9146671295166016e-05,0.010593816637992859,0.6337847709655762,Safe
Terrell Owens,25,1,Percent,15.0,6.3%,0.0%-100.0%,5.947551727294922,12.0,0.03807467520236969,0.0,0.0,2.9146671295166016e-05,0.010593816637992859,0.6337847709655762,Safe
Victoria Arlen,25,1,Percent,19.0,7.9%,0.0%-100.0%,8.010944366455078,6.0,0.03807467520236969,0.0,0.0,2.9146671295166016e-05,0.010593816637992859,0.6337847709655762,Safe
Barbara Corcoran,25,1,Percent,14.0,5.9%,0.0%-100.0%,5.43701171875,13.0,0.03807467520236969,0.0,0.0,2.9146671295166016e-05,0.010593816637992859,0.6337847709655762,Safe
Lindsey Stirling,25,1,Percent,22.0,9.2%,0.0%-100.0%,9.575270652770996,1.0,0.03807467520236969,0.0,0.0,2.9146671295166016e-05,0.010593816637992859,0.6337847709655762,Safe
Debbie Gibson,25,1,Percent,17.0,7.1%,0.0%-100.0%,6.965638160705566,10.0,0.03807467520236969,0.0,0.0,2.9146671295166016e-05,0.010593816637992859,0.6337847709655762,Safe
Nick Lachey,25,1,Percent,18.0,7.5%,0.0%-100.0%,7.474973678588867,9.0,0.03807467520236969,0.0,0.0,2.9146671295166016e-05,0.010593816637992859,0.6337847709655762,Safe
Drew Scott,25,1,Percent,16.0,6.7%,0.0%-100.0%,6.459804534912109,11.0,0.03807467520236969,0.0,0.0,2.9146671295166016e-05,0.010593816637992859,0.6337847709655762,Safe
Vanessa Lachey,25,1,Percent,21.0,8.8%,0.0%-100.0%,9.04194450378418,3.0,0.03807467520236969,0.0,0.0,2.9146671295166016e-05,0.010593816637992859,0.6337847709655762,Safe
Sasha Pieterse,25,2,Percent,22.5,8.2%,0.0%-98.2%,8.458343505859375,4.0,0.0400278915418312,2.1166015358176082e-05,0.0,9.310245513916016e-05,0.008527223020792007,0.6625034809112549,Safe
Frankie Muniz,25,2,Percent,24.0,8.8%,0.0%-98.2%,9.251601219177246,1.0,0.0400278915418312,2.1166015358176082e-05,0.0,9.310245513916016e-05,0.008527223020792007,0.6625034809112549,Safe
Jordan Fisher,25,2,Percent,24.0,8.8%,0.0%-98.2%,9.251601219177246,1.0,0.0400278915418312,2.1166015358176082e-05,0.0,9.310245513916016e-05,0.008527223020792007,0.6625034809112549,Safe
Derek Fisher,25,2,Percent,19.0,6.9%,0.5%-98.7%,6.635351657867432,9.0,0.0400278915418312,2.1166015358176082e-05,0.0,9.310245513916016e-05,0.008527223020792007,0.6625034809112549,Safe
Nikki Bella,25,2,Percent,19.5,7.1%,0.4%-98.5%,6.893620491027832,8.0,0.0400278915418312,2.1166015358176082e-05,0.0,9.310245513916016e-05,0.008527223020792007,0.6625034809112549,Safe
Terrell Owens,25,2,Percent,19.5,7.1%,0.4%-98.5%,6.893620491027832,8.0,0.0400278915418312,2.1166015358176082e-05,0.0,9.310245513916016e-05,0.008527223020792007,0.6625034809112549,Safe
Victoria Arlen,25,2,Percent,22.0,8.0%,0.0%-98.2%,8.192902565002441,5.0,0.0400278915418312,2.1166015358176082e-05,0.0,9.310245513916016e-05,0.008527223020792007,0.6625034809112549,Safe
Barbara Corcoran,25,2,Percent,17.0,6.2%,0.0%-9.8%,5.576628684997559,11.0,0.0400278915418312,2.1166015358176082e-05,0.0,9.310245513916016e-05,0.008527223020792007,0.6625034809112549,Eliminated (Place 13)
Lindsey Stirling,25,2,Percent,22.5,8.2%,0.0%-98.2%,8.46513843536377,3.0,0.0400278915418312,2.1166015358176082e-05,0.0,9.310245513916016e-05,0.008527223020792007,0.6625034809112549,Safe
Debbie Gibson,25,2,Percent,20.5,7.5%,0.0%-8.7%,7.359249114990234,7.0,0.0400278915418312,2.1166015358176082e-05,0.0,9.310245513916016e-05,0.008527223020792007,0.6625034809112549,Eliminated (Place 12)
Nick Lachey,25,2,Percent,19.0,6.9%,0.5%-98.7%,6.620963096618652,10.0,0.0400278915418312,2.1166015358176082e-05,0.0,9.310245513916016e-05,0.008527223020792007,0.6625034809112549,Safe
Drew Scott,25,2,Percent,20.5,7.5%,0.0%-98.2%,7.414621353149414,6.0,0.0400278915418312,2.1166015358176082e-05,0.0,9.310245513916016e-05,0.008527223020792007,0.6625034809112549,Safe
Vanessa Lachey,25,2,Percent,23.5,8.6%,0.0%-98.2%,8.98636245727539,2.0,0.0400278915418312,2.1166015358176082e-05,0.0,9.310245513916016e-05,0.008527223020792007,0.6625034809112549,Safe
Sasha Pieterse,25,3,Percent,19.0,7.8%,0.0%-100.0%,6.792110443115234,8.0,0.03700244016945362,0.0,0.0,5.823373794555664e-05,0.010410858318209648,0.6139538288116455,Safe
Frankie Muniz,25,3,Percent,21.0,8.6%,0.0%-100.0%,8.203855514526367,7.0,0.03700244016945362,0.0,0.0,5.823373794555664e-05,0.010410858318209648,0.6139538288116455,Safe
Jordan Fisher,25,3,Percent,25.0,10.2%,0.0%-100.0%,11.12531852722168,2.0,0.03700244016945362,0.0,0.0,5.823373794555664e-05,0.010410858318209648,0.6139538288116455,Safe
Derek Fisher,25,3,Percent,21.0,8.6%,0.0%-100.0%,8.247696876525879,5.0,0.03700244016945362,0.0,0.0,5.823373794555664e-05,0.010410858318209648,0.6139538288116455,Safe
Nikki Bella,25,3,Percent,21.0,8.6%,0.0%-100.0%,8.247696876525879,5.0,0.03700244016945362,0.0,0.0,5.823373794555664e-05,0.010410858318209648,0.6139538288116455,Safe
Terrell Owens,25,3,Percent,21.0,8.6%,0.0%-100.0%,8.247696876525879,5.0,0.03700244016945362,0.0,0.0,5.823373794555664e-05,0.010410858318209648,0.6139538288116455,Safe
Victoria Arlen,25,3,Percent,22.0,9.0%,0.0%-100.0%,8.974980354309082,4.0,0.03700244016945362,0.0,0.0,5.823373794555664e-05,0.010410858318209648,0.6139538288116455,Safe
Lindsey Stirling,25,3,Percent,27.0,11.1%,0.0%-100.0%,12.553328514099121,1.0,0.03700244016945362,0.0,0.0,5.823373794555664e-05,0.010410858318209648,0.6139538288116455,Safe
Nick Lachey,25,3,Percent,21.0,8.6%,0.0%-100.0%,8.213197708129883,6.0,0.03700244016945362,0.0,0.0,5.823373794555664e-05,0.010410858318209648,0.6139538288116455,Safe
Drew Scott,25,3,Percent,23.0,9.4%,0.0%-100.0%,9.697060585021973,3.0,0.03700244016945362,0.0,0.0,5.823373794555664e-05,0.010410858318209648,0.6139538288116455,Safe
Vanessa Lachey,25,3,Percent,23.0,9.4%,0.0%-100.0%,9.697060585021973,3.0,0.03700244016945362,0.0,0.0,5.823373794555664e-05,0.010410858318209648,0.6139538288116455,Safe
Sasha Pieterse,25,4,Percent,24.0,8.9%,0.0%-99.6%,8.650982856750488,4.0,0.038812710330239496,1.0875740372284781e-05,0.0,0.00020045042037963867,0.00874712597578764,0.6498785018920898,Safe
Frankie Muniz,25,4,Percent,24.0,8.9%,0.0%-99.6%,8.650982856750488,4.0,0.038812710330239496,1.0875740372284781e-05,0.0,0.00020045042037963867,0.00874712597578764,0.6498785018920898,Safe
Jordan Fisher,25,4,Percent,29.0,10.7%,0.0%-99.6%,12.368946075439453,1.0,0.038812710330239496,1.0875740372284781e-05,0.0,0.00020045042037963867,0.00874712597578764,0.6498785018920898,Safe
Derek Fisher,25,4,Percent,23.0,8.5%,0.0%-9.7%,7.803876876831055,7.0,0.038812710330239496,1.0875740372284781e-05,0.0,0.00020045042037963867,0.00874712597578764,0.6498785018920898,Eliminated (Place 11)
Nikki Bella,25,4,Percent,24.0,8.9%,0.0%-99.6%,8.614446640014648,5.0,0.038812710330239496,1.0875740372284781e-05,0.0,0.00020045042037963867,0.00874712597578764,0.6498785018920898,Safe
Terrell Owens,25,4,Percent,24.0,8.9%,0.0%-99.6%,8.614446640014648,5.0,0.038812710330239496,1.0875740372284781e-05,0.0,0.00020045042037963867,0.00874712597578764,0.6498785018920898,Safe
Victoria Arlen,25,4,Percent,27.0,10.0%,0.0%-99.6%,10.876824378967285,2.0,0.038812710330239496,1.0875740372284781e-05,0.0,0.00020045042037963867,0.00874712597578764,0.6498785018920898,Safe
Lindsey Stirling,25,4,Percent,26.0,9.6%,0.0%-99.6%,10.127331733703613,3.0,0.038812710330239496,1.0875740372284781e-05,0.0,0.00020045042037963867,0.00874712597578764,0.6498785018920898,Safe
Nick Lachey,25,4,Percent,22.0,8.1%,0.4%-100.0%,7.130012035369873,8.0,0.038812710330239496,1.0875740372284781e-05,0.0,0.00020045042037963867,0.00874712597578764,0.6498785018920898,Safe
Drew Scott,25,4,Percent,24.0,8.9%,0.0%-99.6%,8.581070899963379,6.0,0.038812710330239496,1.0875740372284781e-05,0.0,0.00020045042037963867,0.00874712597578764,0.6498785018920898,Safe
